,location,Latitude,Longitude
189,Sudan,15.0,30.0
190,Sweden,62.0,15.0
191,Singapore,1.37,103.8
192,Saint Helena,-15.93,-5.7
193,Slovenia,46.0,15.0
194,Svalbard and Jan Mayen,78.0,20.0
195,Slovakia,48.67,19.5
196,Sierra Leone,8.5,-11.5
197,San Marino,43.77,12.42
198,Senegal,14.0,-14.0
199,Somalia,10.0,49.0
200,Suriname,4.0,-56.0
201,Sao Tome and Principe,1.0,7.0
202,El Salvador,13.83,-88.92
203,Syrian Arab Republic,35.0,38.0
204,Eswatini,-26.5,31.5
205,Turks and Caicos Islands,21.75,-71.58
206,Chad,15.0,19.0
207,French Southern Territories,-43.0,67.0
208,Togo,8.0,1.17
209,Thailand,15.0,100.0
210,Tajikistan,39.0,71.0
211,Tokelau,-9.0,-172.0
212,Turkmenistan,40.0,60.0
213,Tunisia,34.0,9.0
214,Tonga,-20.0,-175.0
215,Turkey,39.0,35.0
216,Trinidad and Tobago,11.0,-61.0
217,Tuvalu,-8.0,178.0
218,Taiwan,23.5,121.0
219,Tanzania,-6.0,35.0
220,Ukraine,49.0,32.0
221,Uganda,1.0,32.0
222,United States Minor Outlying Islands,19.28,166.6
223,United States,38.0,-97.0
224,Uruguay,-33.0,-56.0
225,Uzbekistan,41.0,64.0
226,Holy See (Vatican City State),41.9,12.45
227,Saint Vincent and the Grenadines,13.25,-61.2
228,Venezuela,8.0,-66.0
229,"Virgin Islands, British",18.5,-64.5
230,"Virgin Islands, U.S.",18.33,-64.83
231,Vietnam,16.0,106.0
232,Vanuatu,-16.0,167.0
233,Wallis and Futuna,-13.3,-176.2
234,Samoa,-13.58,-172.33
235,Yemen,15.0,48.0
236,Mayotte,-12.83,45.17
237,South Africa,-29.0,24.0
238,Zambia,-15.0,30.0
239,Zimbabwe,-20.0,30.0
